rank,strategy_name,run_id,template_file,model_name,f1_score,f1_normalized,bias_score,bias_normalized,hybrid_score,hyperparam_max_tokens,hyperparam_temperature,hyperparam_top_p,hyperparam_frequency_penalty,hyperparam_presence_penalty,hyperparam_response_format
1,combined_optimized,run_20251018_232343,combined/combined_gptoss_v1.json,gpt-oss-120b,0.6139,1.0,0.6365,1.0,1.0,512,0.1,1.0,0.0,0.0,json_object
2,combined_focused,run_20251018_232343,combined/combined_gptoss_v1.json,gpt-oss-120b,0.5412,0.3616,0.6359,0.99,0.5501,256,0.05,0.8,0.0,0.0,json_object
3,combined_conservative,run_20251018_232343,combined/combined_gptoss_v1.json,gpt-oss-120b,0.5,0.0,0.5694,0.0,0.0,256,0.0,0.9,0.0,0.0,json_object
