rank,strategy_name,run_id,template_file,model_name,f1_score,f1_normalized,bias_score,bias_normalized,hybrid_score,hyperparam_max_tokens,hyperparam_temperature,hyperparam_top_p,hyperparam_frequency_penalty,hyperparam_presence_penalty,hyperparam_response_format
1,baseline_focused,run_20251011_085450,baseline_v1.json,gpt-oss-120b,0.5979,1.0,0.6387,1.0,1.0,200,0.05,0.8,0.2,0.0,json_object
2,baseline_conservative,run_20251011_085450,baseline_v1.json,gpt-oss-120b,0.5918,0.9558,0.6181,0.6748,0.8715,256,0.0,0.9,0.0,0.0,json_object
3,baseline_standard,run_20251011_085450,baseline_v1.json,gpt-oss-120b,0.5393,0.5758,0.6091,0.5338,0.5632,512,0.1,1.0,0.0,0.0,json_object
4,baseline_balanced,run_20251011_085450,baseline_v1.json,gpt-oss-120b,0.4944,0.2505,0.5779,0.0429,0.1882,400,0.2,0.9,0.05,0.05,json_object
5,baseline_creative,run_20251011_085450,baseline_v1.json,gpt-oss-120b,0.4889,0.2107,0.5752,0.0,0.1475,768,0.3,0.95,0.1,0.1,json_object
6,baseline_exploratory,run_20251011_085450,baseline_v1.json,gpt-oss-120b,0.4598,0.0,0.5801,0.0771,0.0231,1024,0.5,0.85,0.3,0.2,json_object
