rank,strategy_name,run_id,template_file,model_name,f1_score,f1_normalized,bias_score,bias_normalized,hybrid_score,hyperparam_max_tokens,hyperparam_temperature,hyperparam_top_p,hyperparam_frequency_penalty,hyperparam_presence_penalty,hyperparam_response_format
1,baseline_standard,run_20251012_191628,baseline_v1.json,gpt-oss-120b,0.615,1.0,0.6846,0.7659,0.9298,512,0.1,1.0,0.0,0.0,json_object
2,combined_optimized,run_20251019_133309,combined/combined_gpt5_v1.json,gpt-5,0.6071,0.676,0.6885,1.0,0.7732,650,1.0,1.0,0.0,0.0,json_object
3,hybrid_fast_accurate,run_20251019_171324,gpt5_architecture_v1.json,gpt-5,0.5961,0.2329,0.6772,0.3102,0.2561,600,1.0,,,,json_object
4,combined_optimized,run_20251018_234643,combined/combined_gptoss_v1.json,gpt-oss-120b,0.5904,0.0,0.6721,0.0,0.0,512,0.1,1.0,0.0,0.0,json_object
